RestaurantID,Name,Address,Time,Price
1,Bún Thủy - Trần Nhật Duật,"98 Trần Nhật Duật, Hoàn Kiếm, Hà Nội",,
2,Trà Sữa Tocotoco - Thiên Đường Bảo Sơn,"A32-18 Khu A Geleximco Lê Trọng Tấn, Hoài Đức, Hà Nội",,
3,Texas Chicken - Aeon Mall Hà Đông,"Tầng 1 Aeon Mall Hà Đông, P. Dương Nội, Hà Đông, Hà Nội",,
4,Happy Lunch - Xuân La,"34 Ngách 36 Ngõ 28 Xuân La, P. Xuân La, Tây Hồ, Hà Nội",,
5,Vịt 29 - Vịt Quay Bắc Kinh - Nguyễn Thượng Hiền,"29 Nguyễn Thượng Hiền, P. Nguyễn Du, Hai Bà Trưng, Hà Nội",,
6,Bánh Mì Bami Bread - Hoàng Quốc Việt,"208 Hoàng Quốc Việt, P. Cổ Nhuế, Bắc Từ Liêm, Hà Nội",,
7,Trà Sữa Tocotoco - Nguyễn Hoàng,"107 Nguyễn Hoàng, P. Mỹ Đình 2, Nam Từ Liêm, Hà Nội",,
8,"Bếp Mẹ Thỏ - Bún, Miến & Phở Trộn Online","135 Ngõ Văn Chương, P. Văn Chương, Đống Đa, Hà Nội",,
9,Trà sữa LeeTee - Kem Trứng & Trà Hoa Quả - Láng Hạ,"1B Ngõ 87 Láng Hạ, P. Thành Công, Ba Đình, Hà Nội",,
10,Trà Sữa Tiger Sugar Delivery - Đường Nâu Sữa Đài Loan - Trần Quốc Hoàn,"263 Trần Quốc Hoàn, P. Dịch Vọng Hậu, Cầu Giấy, Hà Nội",,
11,JUICE BABY & TEA - Trà Và Nước Ép Hoa Quả Tươi,"31 Nguyễn Thị Định, Cầu Giấy, Hà Nội",,
12,Tocotoco - Goldsilk Complex,"L1-01 Lk Goldsilk Complex, Số 430, P. Cầu Am, Hà Đông, Hà Nội",,
13,Trà Sữa Mixue - Big C Thăng Long,"Gian Hàng 2K81 Trung Tâm Thương Mại Big C Thăng Long, Đường Trần Duy Hưng, P. Trung Hoà, Cầu Giấy, Hà Nội",,
14,JapanDeli Express - Shophouse S07 Park 10 KĐT Vinhomes Times City Park Hill,"Shophouse S07 Park 10 KĐT Vinhomes Times City Park Hill , Lĩnh Nam, P. Mai Động, Hoàng Mai, Hà Nội",,
15,Maru Korean - Tiệm Đồ Ăn Hàn Quốc & Trà Sữa - Lê Đại Hành,"25 Lê Đại Hành, P. Lê Đại Hành, Hai Bà Trưng, Hà Nội",,
16,The Pizza Company - The Manor,"A004 - Tòa The Manor, Mễ Trì, P. Mỹ Đình 1, Nam Từ Liêm, Hà Nội",,
17,Tiệm Cơm ChisnBa - Cơm Rang Zòn - Ngọc Hồi,"Số 8A, Nơ 2 Khu Đô Thị Pháp Vân, Ngõ 15 Đường Ngọc Hồi, P. Hoàng Liệt, Hoàng Mai, Hà Nội",,
18,Sữa Chua Trân Châu Hạ Long - Tân Mai,"116 Tân Mai, P. Tân Mai, Hoàng Mai, Hà Nội",,
19,Thái Hạnh - Huy Mai - Thiên Đường Ăn Vặt,"112 D4 Ngõ 4C Đặng Văn Ngữ, P. Trung Tự, Đống Đa, Hà Nội",,
20,TOUS les JOURS - Hoàng Đạo Thúy,"24T1B KĐT Trung Hoà - Nhân Chính, Hoàng Đạo Thúy, P. Trung Hòa, Cầu Giấy, Hà Nội",,
21,"Highlands Coffee - Trà, Cà Phê & Bánh - Hà Nội Post Office","8 Lê Thạch, P. Tràng Tiền, Hoàn Kiếm, Hà Nội",,
22,Bánh Gà Thần Thánh - 158 Hồng Mai,"11 Ngõ 158 Hồng Mai, P. Bạch Mai, Hai Bà Trưng, Hà Nội",,
23,Kem Dairy Queen - Royal City,"Tầng Hầm 2, Tầng Hầm B2, Royal City, 72A Nguyễn Trãi, P. Thượng Đình, Thanh Xuân, Hà Nội",,
24,Cháo Dinh Dưỡng Hải Đăng - 21 Văn Chương 2,"21 Văn Chương 2, P. Văn Chương, Đống Đa, Hà Nội",,
25,With Chamei - Japanese Matcha & Houjicha - 11 Ngô Tất Tố,"Số 11 Ngô Tất Tố, P. Văn Miếu, Đống Đa, Hà Nội",,
26,Bánh Tráng Hoàng Bèo - 22 Duy Tân,"22 Duy Tân, P. Dịch Vọng Hậu, Cầu Giấy, Hà Nội",,
27,"Fruits Mart - Trái Cây, Nước Ép, Sinh Tố - Lê Văn Lương","Sảnh Bể Bơi Việt Đức Complex, 39 Lê Văn Lương, P. Nhân Chính, Thanh Xuân, Hà Nội",,
28,Kem Swensen's - Times City,"Tầng Hầm 1, Tầng B1 TTTM Times City, 458 Minh Khai, P. Vĩnh Tuy, Hai Bà Trưng, Hà Nội",,
29,Chadee - Tiệm Trà Thái Đậm Vị - Trung Kính,"18 Trung Kính, P. Trung Hoà, Cầu Giấy, Hà Nội",,
30,Vua Bánh Mì Sài Gòn - Duy Tân,"44 Duy Tân, P. Dịch Vọng Hậu, Cầu Giấy, Hà Nội",,
31,Hoa Béo - Nem Nướng Ninh Hòa - Mai Động,"108 Mai Động, P. Mai Động, Hoàng Mai, Hà Nội",,
