RestaurantID,Name,Address,Time,Price,Latitude,Longitude
1,Bún Thủy - Trần Nhật Duật,"98 Trần Nhật Duật, Hoàn Kiếm, Hà Nội",,,21.0362951,105.8536967
2,Trà Sữa Tocotoco - Thiên Đường Bảo Sơn,"A32-18 Khu A Geleximco Lê Trọng Tấn, Hoài Đức, Hà Nội",,,20.9818505,105.7425713
3,Texas Chicken - Aeon Mall Hà Đông,"Tầng 1 Aeon Mall Hà Đông, P. Dương Nội, Hà Đông, Hà Nội",,,20.9897037,105.7517169
4,Happy Lunch - Xuân La,"34 Ngách 36 Ngõ 28 Xuân La, P. Xuân La, Tây Hồ, Hà Nội",,,21.063447,105.8079132
5,Vịt 29 - Vịt Quay Bắc Kinh - Nguyễn Thượng Hiền,"29 Nguyễn Thượng Hiền, P. Nguyễn Du, Hai Bà Trưng, Hà Nội",,,21.018845,105.842232
6,Bánh Mì Bami Bread - Hoàng Quốc Việt,"208 Hoàng Quốc Việt, P. Cổ Nhuế, Bắc Từ Liêm, Hà Nội",,,21.0464383,105.7883613
7,Trà Sữa Tocotoco - Nguyễn Hoàng,"107 Nguyễn Hoàng, P. Mỹ Đình 2, Nam Từ Liêm, Hà Nội",,,21.0329688,105.7706382
8,"Bếp Mẹ Thỏ - Bún, Miến & Phở Trộn Online","135 Ngõ Văn Chương, P. Văn Chương, Đống Đa, Hà Nội",,,21.0227544,105.8339721
9,Trà sữa LeeTee - Kem Trứng & Trà Hoa Quả - Láng Hạ,"1B Ngõ 87 Láng Hạ, P. Thành Công, Ba Đình, Hà Nội",,,21.0174889,105.815863
10,Trà Sữa Tiger Sugar Delivery - Đường Nâu Sữa Đài Loan - Trần Quốc Hoàn,"263 Trần Quốc Hoàn, P. Dịch Vọng Hậu, Cầu Giấy, Hà Nội",,,21.0416857,105.7817063
11,JUICE BABY & TEA - Trà Và Nước Ép Hoa Quả Tươi,"31 Nguyễn Thị Định, Cầu Giấy, Hà Nội",,,21.0114349,105.8045606
12,Tocotoco - Goldsilk Complex,"L1-01 Lk Goldsilk Complex, Số 430, P. Cầu Am, Hà Đông, Hà Nội",,,20.9768556,105.7747817
13,Trà Sữa Mixue - Big C Thăng Long,"Gian Hàng 2K81 Trung Tâm Thương Mại Big C Thăng Long, Đường Trần Duy Hưng, P. Trung Hoà, Cầu Giấy, Hà Nội",,,21.0074192,105.793188
14,JapanDeli Express - Shophouse S07 Park 10 KĐT Vinhomes Times City Park Hill,"Shophouse S07 Park 10 KĐT Vinhomes Times City Park Hill , Lĩnh Nam, P. Mai Động, Hoàng Mai, Hà Nội",,,20.9926957,105.8671774
15,Maru Korean - Tiệm Đồ Ăn Hàn Quốc & Trà Sữa - Lê Đại Hành,"25 Lê Đại Hành, P. Lê Đại Hành, Hai Bà Trưng, Hà Nội",,,21.0101462,105.8493779
16,The Pizza Company - The Manor,"A004 - Tòa The Manor, Mễ Trì, P. Mỹ Đình 1, Nam Từ Liêm, Hà Nội",,,21.0137679,105.7757853
17,Tiệm Cơm ChisnBa - Cơm Rang Zòn - Ngọc Hồi,"Số 8A, Nơ 2 Khu Đô Thị Pháp Vân, Ngõ 15 Đường Ngọc Hồi, P. Hoàng Liệt, Hoàng Mai, Hà Nội",,,20.9608676,105.844858
18,Sữa Chua Trân Châu Hạ Long - Tân Mai,"116 Tân Mai, P. Tân Mai, Hoàng Mai, Hà Nội",,,20.9834751,105.8491369
19,Thái Hạnh - Huy Mai - Thiên Đường Ăn Vặt,"112 D4 Ngõ 4C Đặng Văn Ngữ, P. Trung Tự, Đống Đa, Hà Nội",,,21.0099263,105.831876
20,TOUS les JOURS - Hoàng Đạo Thúy,"24T1B KĐT Trung Hoà - Nhân Chính, Hoàng Đạo Thúy, P. Trung Hòa, Cầu Giấy, Hà Nội",,,21.0067188,105.8014655
